PLZ,Bundesland
01201,Sachsen
01202,Sachsen
01203,Sachsen
01204,Sachsen
01205,Sachsen
01206,Sachsen
01207,Sachsen
01208,Sachsen
01209,Sachsen
01210,Sachsen
01211,Sachsen
01212,Sachsen
01213,Sachsen
01214,Sachsen
01215,Sachsen
01216,Sachsen
01217,Sachsen
01218,Sachsen
01219,Sachsen
01220,Sachsen
01221,Sachsen
01222,Sachsen
01223,Sachsen
01224,Sachsen
01225,Sachsen
01226,Sachsen
01227,Sachsen
01228,Sachsen
01229,Sachsen
01230,Sachsen
01231,Sachsen
01232,Sachsen
01233,Sachsen
01234,Sachsen
01235,Sachsen
01236,Sachsen
01237,Sachsen
01238,Sachsen
01239,Sachsen
01240,Sachsen
01241,Sachsen
01242,Sachsen
01243,Sachsen
01244,Sachsen
01245,Sachsen
01246,Sachsen
01247,Sachsen
01248,Sachsen
01249,Sachsen
01250,Sachsen
01251,Sachsen
01252,Sachsen
01253,Sachsen
01254,Sachsen
01255,Sachsen
01256,Sachsen
01257,Sachsen
01258,Sachsen
01259,Sachsen
01260,Sachsen
01261,Sachsen
01262,Sachsen
01263,Sachsen
01264,Sachsen
01265,Sachsen
01266,Sachsen
01267,Sachsen
01268,Sachsen
01269,Sachsen
01270,Sachsen
01271,Sachsen
01272,Sachsen
01273,Sachsen
01274,Sachsen
01275,Sachsen
01276,Sachsen
01277,Sachsen
01278,Sachsen
01279,Sachsen
01280,Sachsen
01281,Sachsen
01282,Sachsen
01283,Sachsen
01284,Sachsen
01285,Sachsen
01286,Sachsen
01287,Sachsen
01288,Sachsen
01289,Sachsen
01290,Sachsen
01291,Sachsen
01292,Sachsen
01293,Sachsen
01294,Sachsen
01295,Sachsen
01296,Sachsen
01297,Sachsen
01298,Sachsen
01299,Sachsen
01300,Sachsen
01301,Sachsen
01302,Sachsen
01303,Sachsen
01304,Sachsen
01305,Sachsen
01306,Sachsen
01307,Sachsen
01308,Sachsen
01309,Sachsen
01310,Sachsen
01311,Sachsen
01312,Sachsen
01313,Sachsen
01314,Sachsen
01315,Sachsen
01316,Sachsen
01317,Sachsen
01318,Sachsen
01319,Sachsen
01320,Sachsen
01321,Sachsen
01322,Sachsen
01323,Sachsen
01324,Sachsen
01325,Sachsen
01326,Sachsen
01327,Sachsen
01328,Sachsen
01329,Sachsen
01330,Sachsen
01331,Sachsen
01332,Sachsen
01333,Sachsen
01334,Sachsen
01335,Sachsen
01336,Sachsen
01337,Sachsen
01338,Sachsen
01339,Sachsen
01340,Sachsen
01341,Sachsen
01342,Sachsen
01343,Sachsen
01344,Sachsen
01345,Sachsen
01346,Sachsen
01347,Sachsen
01348,Sachsen
01349,Sachsen
01350,Sachsen
01351,Sachsen
01352,Sachsen
01353,Sachsen
01354,Sachsen
01355,Sachsen
01356,Sachsen
01357,Sachsen
01358,Sachsen
01359,Sachsen
01360,Sachsen
01361,Sachsen
01362,Sachsen
01363,Sachsen
01364,Sachsen
01365,Sachsen
01366,Sachsen
01367,Sachsen
01368,Sachsen
01369,Sachsen
01370,Sachsen
01371,Sachsen
01372,Sachsen
01373,Sachsen
01374,Sachsen
01375,Sachsen
01376,Sachsen
01377,Sachsen
01378,Sachsen
01379,Sachsen
01380,Sachsen
01381,Sachsen
01382,Sachsen
01383,Sachsen
01384,Sachsen
01385,Sachsen
01386,Sachsen
01387,Sachsen
01388,Sachsen
01389,Sachsen
01390,Sachsen
01391,Sachsen
01392,Sachsen
01393,Sachsen
01394,Sachsen
01395,Sachsen
01396,Sachsen
01397,Sachsen
01398,Sachsen
01399,Sachsen
01400,Sachsen
01401,Sachsen
01402,Sachsen
01403,Sachsen
01404,Sachsen
01405,Sachsen
01406,Sachsen
01407,Sachsen
01408,Sachsen
01409,Sachsen
01410,Sachsen
01411,Sachsen
01412,Sachsen
01413,Sachsen
01414,Sachsen
01415,Sachsen
01416,Sachsen
01417,Sachsen
01418,Sachsen
01419,Sachsen
01420,Sachsen
01421,Sachsen
01422,Sachsen
01423,Sachsen
01424,Sachsen
01425,Sachsen
01426,Sachsen
01427,Sachsen
01428,Sachsen
01429,Sachsen
01430,Sachsen
01431,Sachsen
01432,Sachsen
01433,Sachsen
01434,Sachsen
01435,Sachsen
01436,Sachsen
01437,Sachsen
01438,Sachsen
01439,Sachsen
01440,Sachsen
01441,Sachsen
01442,Sachsen
01443,Sachsen
01444,Sachsen
01445,Sachsen
01446,Sachsen
01447,Sachsen
01448,Sachsen
01449,Sachsen
01450,Sachsen
01451,Sachsen
01452,Sachsen
01453,Sachsen
01454,Sachsen
01455,Sachsen
01456,Sachsen
01457,Sachsen
01458,Sachsen
01459,Sachsen
01460,Sachsen
01461,Sachsen
01462,Sachsen
01463,Sachsen
01464,Sachsen
01465,Sachsen
01466,Sachsen
01467,Sachsen
01468,Sachsen
01469,Sachsen
01470,Sachsen
01471,Sachsen
01472,Sachsen
01473,Sachsen
01474,Sachsen
01475,Sachsen
01476,Sachsen
01477,Sachsen
01478,Sachsen
01479,Sachsen
01480,Sachsen
01481,Sachsen
01482,Sachsen
01483,Sachsen
01484,Sachsen
01485,Sachsen
01486,Sachsen
01487,Sachsen
01488,Sachsen
01489,Sachsen
01490,Sachsen
01491,Sachsen
01492,Sachsen
01493,Sachsen
01494,Sachsen
01495,Sachsen
01496,Sachsen
01497,Sachsen
01498,Sachsen
01499,Sachsen
01500,Sachsen
01501,Sachsen
01502,Sachsen
01503,Sachsen
01504,Sachsen
01505,Sachsen
01506,Sachsen
01507,Sachsen
01508,Sachsen
01509,Sachsen
01510,Sachsen
01511,Sachsen
01512,Sachsen
01513,Sachsen
01514,Sachsen
01515,Sachsen
01516,Sachsen
01517,Sachsen
01518,Sachsen
01519,Sachsen
01520,Sachsen
01521,Sachsen
01522,Sachsen
01523,Sachsen
01524,Sachsen
01525,Sachsen
01526,Sachsen
01527,Sachsen
01528,Sachsen
01529,Sachsen
01530,Sachsen
01531,Sachsen
01532,Sachsen
01533,Sachsen
01534,Sachsen
01535,Sachsen
01536,Sachsen
01537,Sachsen
01538,Sachsen
01539,Sachsen
01540,Sachsen
01541,Sachsen
01542,Sachsen
01543,Sachsen
01544,Sachsen
01545,Sachsen
01546,Sachsen
01547,Sachsen
01548,Sachsen
01549,Sachsen
01550,Sachsen
01551,Sachsen
01552,Sachsen
01553,Sachsen
01554,Sachsen
01555,Sachsen
01556,Sachsen
01557,Sachsen
01558,Sachsen
01559,Sachsen
01560,Sachsen
01561,Sachsen
01562,Sachsen
01563,Sachsen
01564,Sachsen
01565,Sachsen
01566,Sachsen
01567,Sachsen
01568,Sachsen
01569,Sachsen
01570,Sachsen
01571,Sachsen
01572,Sachsen
01573,Sachsen
01574,Sachsen
01575,Sachsen
01576,Sachsen
01577,Sachsen
01578,Sachsen
01579,Sachsen
01580,Sachsen
01581,Sachsen
01582,Sachsen
01583,Sachsen
01584,Sachsen
01585,Sachsen
01586,Sachsen
01587,Sachsen
01588,Sachsen
01589,Sachsen
01590,Sachsen
01591,Sachsen
01592,Sachsen
01593,Sachsen
01594,Sachsen
01595,Sachsen
01596,Sachsen
01597,Sachsen
01598,Sachsen
01599,Sachsen
01600,Sachsen
01601,Sachsen
01602,Sachsen
01603,Sachsen
01604,Sachsen
01605,Sachsen
01606,Sachsen
01607,Sachsen
01608,Sachsen
01609,Sachsen
01610,Sachsen
01611,Sachsen
01612,Sachsen
01613,Sachsen
01614,Sachsen
01615,Sachsen
01616,Sachsen
01617,Sachsen
01618,Sachsen
01619,Sachsen
01620,Sachsen
01621,Sachsen
01622,Sachsen
01623,Sachsen
01624,Sachsen
01625,Sachsen
01626,Sachsen
01627,Sachsen
01628,Sachsen
01629,Sachsen
01630,Sachsen
01631,Sachsen
01632,Sachsen
01633,Sachsen
01634,Sachsen
01635,Sachsen
01636,Sachsen
01637,Sachsen
01638,Sachsen
01639,Sachsen
01640,Sachsen
01641,Sachsen
01642,Sachsen
01643,Sachsen
01644,Sachsen
01645,Sachsen
01646,Sachsen
01647,Sachsen
01648,Sachsen
01649,Sachsen
01650,Sachsen
01651,Sachsen
01652,Sachsen
01653,Sachsen
01654,Sachsen
01655,Sachsen
01656,Sachsen
01657,Sachsen
01658,Sachsen
01659,Sachsen
01660,Sachsen
01661,Sachsen
01662,Sachsen
01663,Sachsen
01664,Sachsen
01665,Sachsen
01666,Sachsen
01667,Sachsen
01668,Sachsen
01669,Sachsen
01670,Sachsen
01671,Sachsen
01672,Sachsen
01673,Sachsen
01674,Sachsen
01675,Sachsen
01676,Sachsen
01677,Sachsen
01678,Sachsen
01679,Sachsen
01680,Sachsen
01681,Sachsen
01682,Sachsen
01683,Sachsen
01684,Sachsen
01685,Sachsen
01686,Sachsen
01687,Sachsen
01688,Sachsen
01689,Sachsen
01690,Sachsen
01691,Sachsen
01692,Sachsen
01693,Sachsen
01694,Sachsen
01695,Sachsen
01696,Sachsen
01697,Sachsen
01698,Sachsen
01699,Sachsen
01700,Sachsen
01701,Sachsen
01702,Sachsen
01703,Sachsen
01704,Sachsen
01705,Sachsen
01706,Sachsen
01707,Sachsen
01708,Sachsen
01709,Sachsen
01710,Sachsen
01711,Sachsen
01712,Sachsen
01713,Sachsen
01714,Sachsen
01715,Sachsen
01716,Sachsen
01717,Sachsen
01718,Sachsen
01719,Sachsen
01720,Sachsen
01721,Sachsen
01722,Sachsen
01723,Sachsen
01724,Sachsen
01725,Sachsen
01726,Sachsen
01727,Sachsen
01728,Sachsen
01729,Sachsen
01730,Sachsen
01731,Sachsen
01732,Sachsen
01733,Sachsen
01734,Sachsen
01735,Sachsen
01736,Sachsen
01737,Sachsen
01738,Sachsen
01739,Sachsen
01740,Sachsen
01741,Sachsen
01742,Sachsen
01743,Sachsen
01744,Sachsen
01745,Sachsen
01746,Sachsen
01747,Sachsen
01748,Sachsen
01749,Sachsen
01750,Sachsen
01751,Sachsen
01752,Sachsen
01753,Sachsen
01754,Sachsen
01755,Sachsen
01756,Sachsen
01757,Sachsen
01758,Sachsen
01759,Sachsen
01760,Sachsen
01761,Sachsen
01762,Sachsen
01763,Sachsen
01764,Sachsen
01765,Sachsen
01766,Sachsen
01767,Sachsen
01768,Sachsen
01769,Sachsen
01770,Sachsen
01771,Sachsen
01772,Sachsen
01773,Sachsen
01774,Sachsen
01775,Sachsen
01776,Sachsen
01777,Sachsen
01778,Sachsen
01779,Sachsen
01780,Sachsen
01781,Sachsen
01782,Sachsen
01783,Sachsen
01784,Sachsen
01785,Sachsen
01786,Sachsen
01787,Sachsen
01788,Sachsen
01789,Sachsen
01790,Sachsen
01791,Sachsen
01792,Sachsen
01793,Sachsen
01794,Sachsen
01795,Sachsen
01796,Sachsen
01797,Sachsen
01798,Sachsen
01799,Sachsen
01800,Sachsen
01801,Sachsen
01802,Sachsen
01803,Sachsen
01804,Sachsen
01805,Sachsen
01806,Sachsen
01807,Sachsen
01808,Sachsen
01809,Sachsen
01810,Sachsen
01811,Sachsen
01812,Sachsen
01813,Sachsen
01814,Sachsen
01815,Sachsen
01816,Sachsen
01817,Sachsen
01818,Sachsen
01819,Sachsen
01820,Sachsen
01821,Sachsen
01822,Sachsen
01823,Sachsen
01824,Sachsen
01825,Sachsen
01826,Sachsen
01827,Sachsen
01828,Sachsen
01829,Sachsen
01830,Sachsen
01831,Sachsen
01832,Sachsen
01833,Sachsen
01834,Sachsen
01835,Sachsen
01836,Sachsen
01837,Sachsen
01838,Sachsen
01839,Sachsen
01840,Sachsen
01841,Sachsen
01842,Sachsen
01843,Sachsen
01844,Sachsen
01845,Sachsen
01846,Sachsen
01847,Sachsen
01848,Sachsen
01849,Sachsen
01850,Sachsen
01851,Sachsen
01852,Sachsen
01853,Sachsen
01854,Sachsen
01855,Sachsen
01856,Sachsen
01857,Sachsen
01858,Sachsen
01859,Sachsen
01860,Sachsen
01861,Sachsen
01862,Sachsen
01863,Sachsen
01864,Sachsen
01865,Sachsen
01866,Sachsen
01867,Sachsen
01868,Sachsen
01869,Sachsen
01870,Sachsen
01871,Sachsen
01872,Sachsen
01873,Sachsen
01874,Sachsen
01875,Sachsen
01876,Sachsen
01877,Sachsen
01878,Sachsen
01879,Sachsen
01880,Sachsen
01881,Sachsen
01882,Sachsen
01883,Sachsen
01884,Sachsen
01885,Sachsen
01886,Sachsen
01887,Sachsen
01888,Sachsen
01889,Sachsen
01890,Sachsen
01891,Sachsen
01892,Sachsen
01893,Sachsen
01894,Sachsen
01895,Sachsen
01896,Sachsen
01897,Sachsen
01898,Sachsen
01899,Sachsen
01900,Sachsen
01901,Sachsen
01902,Sachsen
01903,Sachsen
01904,Sachsen
01905,Sachsen
01906,Sachsen
01907,Sachsen
01908,Sachsen
01909,Sachsen
01910,Sachsen
01911,Sachsen
01912,Sachsen
01913,Sachsen
01914,Sachsen
01915,Sachsen
01916,Sachsen
01917,Sachsen
01918,Sachsen
01919,Sachsen
01920,Sachsen
01921,Sachsen
01922,Sachsen
01923,Sachsen
01924,Sachsen
01925,Sachsen
01926,Sachsen
01927,Sachsen
01928,Sachsen
01929,Sachsen
01930,Sachsen
01931,Sachsen
01932,Sachsen
01933,Sachsen
01934,Sachsen
01935,Sachsen
01936,Sachsen
01941,Brandenburg
01942,Brandenburg
01943,Brandenburg
01944,Brandenburg
01945,Brandenburg
01946,Brandenburg
01947,Brandenburg
01948,Brandenburg
01949,Brandenburg
01950,Brandenburg
01951,Brandenburg
01952,Brandenburg
01953,Brandenburg
01954,Brandenburg
01955,Brandenburg
01956,Brandenburg
01957,Brandenburg
01958,Brandenburg
01959,Brandenburg
01960,Brandenburg
01961,Brandenburg
01962,Brandenburg
01963,Brandenburg
01964,Brandenburg
01965,Brandenburg
01966,Brandenburg
01967,Brandenburg
01968,Brandenburg
01969,Brandenburg
01970,Brandenburg
01971,Brandenburg
01972,Brandenburg
01973,Brandenburg
01974,Brandenburg
01975,Brandenburg
01976,Brandenburg
01977,Brandenburg
01978,Brandenburg
01979,Brandenburg
01980,Brandenburg
01981,Brandenburg
01982,Brandenburg
01983,Brandenburg
01984,Brandenburg
01985,Brandenburg
01986,Brandenburg
01987,Brandenburg
01988,Brandenburg
01989,Brandenburg
01990,Brandenburg
01991,Brandenburg
01992,Brandenburg
01993,Brandenburg
01994,Brandenburg
01995,Brandenburg
01996,Brandenburg
01997,Brandenburg
01998,Brandenburg
02601,Sachsen
02602,Sachsen
02603,Sachsen
02604,Sachsen
02605,Sachsen
02606,Sachsen
02607,Sachsen
02608,Sachsen
02609,Sachsen
02610,Sachsen
02611,Sachsen
02612,Sachsen
02613,Sachsen
02614,Sachsen
02615,Sachsen
02616,Sachsen
02617,Sachsen
02618,Sachsen
02619,Sachsen
02620,Sachsen
02621,Sachsen
02622,Sachsen
02623,Sachsen
02624,Sachsen
02625,Sachsen
02626,Sachsen
02627,Sachsen
02628,Sachsen
02629,Sachsen
02630,Sachsen
02631,Sachsen
02632,Sachsen
02633,Sachsen
02634,Sachsen
02635,Sachsen
02636,Sachsen
02637,Sachsen
02638,Sachsen
02639,Sachsen
02640,Sachsen
02641,Sachsen
02642,Sachsen
02643,Sachsen
02644,Sachsen
02645,Sachsen
02646,Sachsen
02647,Sachsen
02648,Sachsen
02649,Sachsen
02650,Sachsen
02651,Sachsen
02652,Sachsen
02653,Sachsen
02654,Sachsen
02655,Sachsen
02656,Sachsen
02657,Sachsen
02658,Sachsen
02659,Sachsen
02660,Sachsen
02661,Sachsen
02662,Sachsen
02663,Sachsen
02664,Sachsen
02665,Sachsen
02666,Sachsen
02667,Sachsen
02668,Sachsen
02669,Sachsen
02670,Sachsen
02671,Sachsen
02672,Sachsen
02673,Sachsen
02674,Sachsen
02675,Sachsen
02676,Sachsen
02677,Sachsen
02678,Sachsen
02679,Sachsen
02680,Sachsen
02681,Sachsen
02682,Sachsen
02683,Sachsen
02684,Sachsen
02685,Sachsen
02686,Sachsen
02687,Sachsen
02688,Sachsen
02689,Sachsen
02690,Sachsen
02691,Sachsen
02692,Sachsen
02693,Sachsen
02694,Sachsen
02695,Sachsen
02696,Sachsen
02697,Sachsen
02698,Sachsen
02699,Sachsen
02700,Sachsen
02701,Sachsen
02702,Sachsen
02703,Sachsen
02704,Sachsen
02705,Sachsen
02706,Sachsen
02707,Sachsen
02708,Sachsen
02709,Sachsen
02710,Sachsen
02711,Sachsen
02712,Sachsen
02713,Sachsen
02714,Sachsen
02715,Sachsen
02716,Sachsen
02717,Sachsen
02718,Sachsen
02719,Sachsen
02720,Sachsen
02721,Sachsen
02722,Sachsen
02723,Sachsen
02724,Sachsen
02725,Sachsen
02726,Sachsen
02727,Sachsen
02728,Sachsen
02729,Sachsen
02730,Sachsen
02731,Sachsen
02732,Sachsen
02733,Sachsen
02734,Sachsen
02735,Sachsen
02736,Sachsen
02737,Sachsen
02738,Sachsen
02739,Sachsen
02740,Sachsen
02741,Sachsen
02742,Sachsen
02743,Sachsen
02744,Sachsen
02745,Sachsen
02746,Sachsen
02747,Sachsen
02748,Sachsen
02749,Sachsen
02750,Sachsen
02751,Sachsen
02752,Sachsen
02753,Sachsen
02754,Sachsen
02755,Sachsen
02756,Sachsen
02757,Sachsen
02758,Sachsen
02759,Sachsen
02760,Sachsen
02761,Sachsen
02762,Sachsen
02763,Sachsen
02764,Sachsen
02765,Sachsen
02766,Sachsen
02767,Sachsen
02768,Sachsen
02769,Sachsen
02770,Sachsen
02771,Sachsen
02772,Sachsen
02773,Sachsen
02774,Sachsen
02775,Sachsen
02776,Sachsen
02777,Sachsen
02778,Sachsen
02779,Sachsen
02780,Sachsen
02781,Sachsen
02782,Sachsen
02783,Sachsen
02784,Sachsen
02785,Sachsen
02786,Sachsen
02787,Sachsen
02788,Sachsen
02789,Sachsen
02790,Sachsen
02791,Sachsen
02792,Sachsen
02793,Sachsen
02794,Sachsen
02795,Sachsen
02796,Sachsen
02797,Sachsen
02798,Sachsen
02799,Sachsen
02800,Sachsen
02801,Sachsen
02802,Sachsen
02803,Sachsen
02804,Sachsen
02805,Sachsen
02806,Sachsen
02807,Sachsen
02808,Sachsen
02809,Sachsen
02810,Sachsen
02811,Sachsen
02812,Sachsen
02813,Sachsen
02814,Sachsen
02815,Sachsen
02816,Sachsen
02817,Sachsen
02818,Sachsen
02819,Sachsen
02820,Sachsen
02821,Sachsen
02822,Sachsen
02823,Sachsen
02824,Sachsen
02825,Sachsen
02826,Sachsen
02827,Sachsen
02828,Sachsen
02829,Sachsen
02830,Sachsen
02831,Sachsen
02832,Sachsen
02833,Sachsen
02834,Sachsen
02835,Sachsen
02836,Sachsen
02837,Sachsen
02838,Sachsen
02839,Sachsen
02840,Sachsen
02841,Sachsen
02842,Sachsen
02843,Sachsen
02844,Sachsen
02845,Sachsen
02846,Sachsen
02847,Sachsen
02848,Sachsen
02849,Sachsen
02850,Sachsen
02851,Sachsen
02852,Sachsen
02853,Sachsen
02854,Sachsen
02855,Sachsen
02856,Sachsen
02857,Sachsen
02858,Sachsen
02859,Sachsen
02860,Sachsen
02861,Sachsen
02862,Sachsen
02863,Sachsen
02864,Sachsen
02865,Sachsen
02866,Sachsen
02867,Sachsen
02868,Sachsen
02869,Sachsen
02870,Sachsen
02871,Sachsen
02872,Sachsen
02873,Sachsen
02874,Sachsen
02875,Sachsen
02876,Sachsen
02877,Sachsen
02878,Sachsen
02879,Sachsen
02880,Sachsen
02881,Sachsen
02882,Sachsen
02883,Sachsen
02884,Sachsen
02885,Sachsen
02886,Sachsen
02887,Sachsen
02888,Sachsen
02889,Sachsen
02890,Sachsen
02891,Sachsen
02892,Sachsen
02893,Sachsen
02894,Sachsen
02895,Sachsen
02896,Sachsen
02897,Sachsen
02898,Sachsen
02899,Sachsen
02900,Sachsen
02901,Sachsen
02902,Sachsen
02903,Sachsen
02904,Sachsen
02905,Sachsen
02906,Sachsen
02907,Sachsen
02908,Sachsen
02909,Sachsen
02910,Sachsen
02911,Sachsen
02912,Sachsen
02913,Sachsen
02914,Sachsen
02915,Sachsen
02916,Sachsen
02917,Sachsen
02918,Sachsen
02919,Sachsen
02920,Sachsen
02921,Sachsen
02922,Sachsen
02923,Sachsen
02924,Sachsen
02925,Sachsen
02926,Sachsen
02927,Sachsen
02928,Sachsen
02929,Sachsen
02930,Sachsen
02931,Sachsen
02932,Sachsen
02933,Sachsen
02934,Sachsen
02935,Sachsen
02936,Sachsen
02937,Sachsen
02938,Sachsen
02939,Sachsen
02940,Sachsen
02941,Sachsen
02942,Sachsen
02943,Sachsen
02944,Sachsen
02945,Sachsen
02946,Sachsen
02947,Sachsen
02948,Sachsen
02949,Sachsen
02950,Sachsen
02951,Sachsen
02952,Sachsen
02953,Sachsen
02954,Sachsen
02955,Sachsen
02956,Sachsen
02957,Sachsen
02958,Sachsen
02959,Sachsen
02960,Sachsen
02961,Sachsen
02962,Sachsen
02963,Sachsen
02964,Sachsen
02965,Sachsen
02966,Sachsen
02967,Sachsen
02968,Sachsen
02969,Sachsen
02970,Sachsen
02971,Sachsen
02972,Sachsen
02973,Sachsen
02974,Sachsen
02975,Sachsen
02976,Sachsen
02977,Sachsen
02978,Sachsen
02979,Sachsen
02980,Sachsen
02981,Sachsen
02982,Sachsen
02983,Sachsen
02984,Sachsen
02985,Sachsen
02986,Sachsen
02987,Sachsen
02988,Sachsen
02989,Sachsen
02990,Sachsen
02991,Sachsen
02992,Sachsen
02993,Sachsen
02994,Sachsen
02995,Sachsen
02996,Sachsen
02997,Sachsen
02998,Sachsen
02999,Sachsen
03001,Brandenburg
03002,Brandenburg
03003,Brandenburg
03004,Brandenburg
03005,Brandenburg
03006,Brandenburg
03007,Brandenburg
03008,Brandenburg
03009,Brandenburg
03010,Brandenburg
03011,Brandenburg
03012,Brandenburg
03013,Brandenburg
03014,Brandenburg
03015,Brandenburg
03016,Brandenburg
03017,Brandenburg
03018,Brandenburg
03019,Brandenburg
03020,Brandenburg
03021,Brandenburg
03022,Brandenburg
03023,Brandenburg
03024,Brandenburg
03025,Brandenburg
03026,Brandenburg
03027,Brandenburg
03028,Brandenburg
03029,Brandenburg
03030,Brandenburg
03031,Brandenburg
03032,Brandenburg
03033,Brandenburg
03034,Brandenburg
03035,Brandenburg
03036,Brandenburg
03037,Brandenburg
03038,Brandenburg
03039,Brandenburg
03040,Brandenburg
03041,Brandenburg
03042,Brandenburg
03043,Brandenburg
03044,Brandenburg
03045,Brandenburg
03046,Brandenburg
03047,Brandenburg
03048,Brandenburg
03049,Brandenburg
03050,Brandenburg
03051,Brandenburg
03052,Brandenburg
03053,Brandenburg
03054,Brandenburg
03055,Brandenburg
03056,Brandenburg
03057,Brandenburg
03058,Brandenburg
03059,Brandenburg
03060,Brandenburg
03061,Brandenburg
03062,Brandenburg
03063,Brandenburg
03064,Brandenburg
03065,Brandenburg
03066,Brandenburg
03067,Brandenburg
03068,Brandenburg
03069,Brandenburg
03070,Brandenburg
03071,Brandenburg
03072,Brandenburg
03073,Brandenburg
03074,Brandenburg
03075,Brandenburg
03076,Brandenburg
03077,Brandenburg
03078,Brandenburg
03079,Brandenburg
03080,Brandenburg
03081,Brandenburg
03082,Brandenburg
03083,Brandenburg
03084,Brandenburg
03085,Brandenburg
03086,Brandenburg
03087,Brandenburg
03088,Brandenburg
03089,Brandenburg
03090,Brandenburg
03091,Brandenburg
03092,Brandenburg
03093,Brandenburg
03094,Brandenburg
03095,Brandenburg
03096,Brandenburg
03097,Brandenburg
03098,Brandenburg
03099,Brandenburg
03100,Brandenburg
03101,Brandenburg
03102,Brandenburg
03103,Brandenburg
03104,Brandenburg
03105,Brandenburg
03106,Brandenburg
03107,Brandenburg
03108,Brandenburg
03109,Brandenburg
03110,Brandenburg
03111,Brandenburg
03112,Brandenburg
03113,Brandenburg
03114,Brandenburg
03115,Brandenburg
03116,Brandenburg
03117,Brandenburg
03118,Brandenburg
03119,Brandenburg
03120,Brandenburg
03121,Brandenburg
03122,Brandenburg
03123,Brandenburg
03124,Brandenburg
03125,Brandenburg
03126,Brandenburg
03127,Brandenburg
03128,Brandenburg
03129,Brandenburg
03130,Brandenburg
03131,Brandenburg
03132,Brandenburg
03133,Brandenburg
03134,Brandenburg
03135,Brandenburg
03136,Brandenburg
03137,Brandenburg
03138,Brandenburg
