ticket_id,customer_id,timestamp_created,timestamp_closed,subject,description,category,priority,channel,status,solved_in_hours,related_log_id,technical_issue_type
TKT_000047,CUST_00007,2025-12-30 05:00:00,2025-12-31 06:00:00,Technical Issue - Connection Drops,Internet keeps disconnecting every few minutes,technical,medium,email,closed,25,LOG_0000281,connection_drops
TKT_000048,CUST_00008,2025-12-29 08:00:00,2025-12-30 15:00:00,Technical Issue - Connection Drops,Internet keeps disconnecting every few minutes,technical,medium,phone,closed,31,LOG_0000295,connection_drops
TKT_000049,CUST_00008,2026-02-10 01:00:00,2026-02-11 11:00:00,Technical Issue - Outage,"Complete outage for 143 minutes, no internet at all",technical,urgent,phone,closed,34,LOG_0000297,outage
TKT_000050,CUST_00008,2026-01-23 10:00:00,2026-01-25 00:00:00,Technical Issue - Slow Speed,"Streaming keeps buffering, internet speed is insufficient",technical,medium,chat,closed,38,LOG_0000303,slow_speed
TKT_000051,CUST_00008,2026-02-20 02:00:00,2026-02-21 16:00:00,Technical Issue - High Latency,"Response time is awful, everything is delayed",technical,medium,email,closed,38,LOG_0000325,high_latency
TKT_000052,CUST_00008,2025-09-25 00:00:00,2025-09-25 10:00:00,Service Change,Want to upgrade to faster plan,service_change,medium,email,closed,10,,
TKT_000053,CUST_00008,2026-02-14 00:00:00,2026-02-14 21:00:00,Service Change,Need to downgrade to save money,service_change,medium,chat,closed,21,,
TKT_000054,CUST_00008,2026-01-31 00:00:00,2026-01-31 16:00:00,Billing,Why did my bill increase without notice?,billing,high,web_form,closed,16,,
TKT_000055,CUST_00009,2026-02-12 10:00:00,2026-02-13 08:00:00,Technical Issue - Slow Speed,"Internet is extremely slow, only getting 14 Mbps instead of 50 Mbps",technical,urgent,email,closed,22,LOG_0000329,slow_speed
TKT_000056,CUST_00009,2026-01-30 07:00:00,2026-01-31 15:00:00,Technical Issue - Connection Drops,WiFi keeps cutting out throughout the day,technical,medium,web_form,closed,32,LOG_0000334,connection_drops
TKT_000057,CUST_00009,2025-12-28 10:00:00,2025-12-29 13:00:00,Technical Issue - High Latency,"Response time is awful, everything is delayed",technical,high,email,closed,27,LOG_0000356,high_latency
TKT_000058,CUST_00009,2025-09-09 00:00:00,2025-09-09 08:00:00,Service Change,Want to upgrade to faster plan,service_change,low,web_form,closed,8,,
TKT_000059,CUST_00009,2026-02-26 00:00:00,2026-02-26 20:00:00,Sales,"Competitor is offering better price, can you match?",sales,low,phone,closed,20,,
TKT_000060,CUST_00009,2026-02-23 00:00:00,2026-02-23 19:00:00,Service Change,Want to upgrade to faster plan,service_change,low,phone,closed,19,,
TKT_000061,CUST_00010,2025-12-04 08:00:00,2025-12-05 16:00:00,Technical Issue - Slow Speed,"Streaming keeps buffering, internet speed is insufficient",technical,medium,web_form,closed,32,LOG_0000374,slow_speed
TKT_000062,CUST_00010,2026-02-17 07:00:00,2026-02-18 02:00:00,Technical Issue - Connection Drops,Internet keeps disconnecting every few minutes,technical,medium,chat,closed,19,LOG_0000384,connection_drops
TKT_000063,CUST_00010,2026-01-04 09:00:00,2026-01-05 05:00:00,Technical Issue - Packet Loss,"Data is getting lost, packet loss is very high",technical,medium,email,closed,20,LOG_0000391,packet_loss
TKT_000064,CUST_00010,2025-11-14 00:00:00,2025-11-14 09:00:00,Service Change,"Moving to new address, how to transfer service?",service_change,low,phone,closed,9,,
TKT_000065,CUST_00011,2026-02-26 03:00:00,2026-02-26 12:00:00,Technical Issue - High Latency,"Response time is awful, everything is delayed",technical,high,phone,closed,9,LOG_0000409,high_latency
TKT_000066,CUST_00011,2025-12-12 07:00:00,2025-12-13 13:00:00,Technical Issue - Packet Loss,Unstable connection with frequent data loss,technical,medium,chat,closed,30,LOG_0000412,packet_loss
TKT_000067,CUST_00011,2026-02-18 06:00:00,2026-02-19 22:00:00,Technical Issue - High Latency,"Terrible lag during video calls, latency is 174ms",technical,high,web_form,closed,40,LOG_0000417,high_latency
TKT_000068,CUST_00011,2025-12-19 00:00:00,2025-12-19 04:00:00,Service Change,How do I cancel my service?,service_change,low,chat,closed,4,,
TKT_000069,CUST_00011,2025-11-19 00:00:00,2025-11-19 03:00:00,Service Change,Need to downgrade to save money,service_change,low,phone,closed,3,,
TKT_000070,CUST_00012,2025-12-18 05:00:00,2025-12-20 01:00:00,Technical Issue - High Latency,"Terrible lag during video calls, latency is 122ms",technical,medium,chat,closed,44,LOG_0000425,high_latency
TKT_000071,CUST_00012,2025-12-07 06:00:00,2025-12-08 09:00:00,Technical Issue - High Latency,"Terrible lag during video calls, latency is 172ms",technical,medium,phone,closed,27,LOG_0000446,high_latency
TKT_000072,CUST_00012,2025-12-01 07:00:00,2025-12-01 19:00:00,Technical Issue - Packet Loss,Unstable connection with frequent data loss,technical,medium,phone,closed,12,LOG_0000448,packet_loss
TKT_000073,CUST_00012,2026-01-02 00:00:00,2026-01-02 14:00:00,Service Change,Need to downgrade to save money,service_change,medium,phone,closed,14,,
TKT_000074,CUST_00013,2026-02-13 01:00:00,2026-02-14 11:00:00,Technical Issue - High Latency,"Video conferences are choppy, high latency issues",technical,high,email,closed,34,LOG_0000450,high_latency
TKT_000075,CUST_00013,2026-02-19 01:00:00,2026-02-19 06:00:00,Technical Issue - High Latency,"High ping, gaming is impossible with this latency",technical,medium,web_form,closed,5,LOG_0000463,high_latency
TKT_000076,CUST_00013,2026-01-20 10:00:00,2026-01-23 16:00:00,Technical Issue - Slow Speed,"Internet is extremely slow, only getting 48 Mbps instead of 200 Mbps",technical,urgent,web_form,closed,78,LOG_0000470,slow_speed
TKT_000077,CUST_00013,2025-09-03 00:00:00,2025-09-03 10:00:00,Service Change,Need to downgrade to save money,service_change,low,chat,closed,10,,
TKT_000078,CUST_00013,2026-01-21 00:00:00,2026-01-22 00:00:00,Billing,Need explanation for additional fees on bill,billing,medium,web_form,closed,24,,
TKT_000079,CUST_00014,2025-12-25 02:00:00,2025-12-27 01:00:00,Technical Issue - High Latency,"Terrible lag during video calls, latency is 290ms",technical,high,email,closed,47,LOG_0000498,high_latency
TKT_000080,CUST_00014,2026-02-11 08:00:00,2026-02-11 11:00:00,Technical Issue - Connection Drops,"Connection drops constantly, can't stay online",technical,medium,web_form,closed,3,LOG_0000500,connection_drops
TKT_000081,CUST_00014,2026-01-05 10:00:00,2026-01-06 16:00:00,Technical Issue - High Latency,"Response time is awful, everything is delayed",technical,high,email,closed,30,LOG_0000505,high_latency
TKT_000082,CUST_00014,2025-12-29 05:00:00,2025-12-31 05:00:00,Technical Issue - Outage,"No connection whatsoever, lights on router are red",technical,high,email,closed,48,LOG_0000507,outage
TKT_000083,CUST_00014,2026-01-30 02:00:00,2026-02-04 00:00:00,Technical Issue - Outage,Internet has been down for over an hour,technical,high,chat,closed,118,LOG_0000512,outage
TKT_000084,CUST_00014,2026-01-16 10:00:00,2026-01-17 13:00:00,Technical Issue - Packet Loss,"Connection quality is terrible, lots of packet loss",technical,high,email,closed,27,LOG_0000519,packet_loss
TKT_000085,CUST_00014,2026-01-12 04:00:00,2026-01-14 21:00:00,Technical Issue - Slow Speed,"Pages are loading very slowly, speed is way below what was promised",technical,urgent,email,closed,65,LOG_0000521,slow_speed
TKT_000086,CUST_00014,2025-12-12 02:00:00,2025-12-12 08:00:00,Technical Issue - High Latency,"Video conferences are choppy, high latency issues",technical,high,chat,closed,6,LOG_0000523,high_latency
TKT_000087,CUST_00014,2026-01-16 00:00:00,2026-01-16 23:00:00,Service Change,How do I cancel my service?,service_change,medium,web_form,closed,23,,
TKT_000088,CUST_00014,2026-02-14 00:00:00,2026-02-14 04:00:00,Service Change,Want to upgrade to faster plan,service_change,low,email,closed,4,,
TKT_000089,CUST_00014,2026-01-25 00:00:00,2026-01-25 13:00:00,Service Change,How do I cancel my service?,service_change,low,phone,closed,13,,
TKT_000090,CUST_00014,2025-11-10 00:00:00,2025-11-10 05:00:00,Service Change,How do I cancel my service?,service_change,medium,phone,closed,5,,
TKT_000091,CUST_00014,2026-02-11 00:00:00,2026-02-11 17:00:00,Service Change,"Moving to new address, how to transfer service?",service_change,low,phone,closed,17,,
TKT_000092,CUST_00015,2025-12-09 01:00:00,2025-12-09 02:00:00,Technical Issue - Connection Drops,WiFi keeps cutting out throughout the day,technical,high,phone,closed,1,LOG_0000528,connection_drops
TKT_000093,CUST_00015,2026-01-31 04:00:00,2026-01-31 09:00:00,Technical Issue - Packet Loss,"Experiencing severe packet loss (16.4%), connection is unstable",technical,medium,chat,closed,5,LOG_0000532,packet_loss
TKT_000094,CUST_00015,2025-12-13 02:00:00,2025-12-13 04:00:00,Technical Issue - Packet Loss,"Data is getting lost, packet loss is very high",technical,high,email,closed,2,LOG_0000535,packet_loss
TKT_000095,CUST_00015,2025-12-21 08:00:00,2025-12-22 03:00:00,Technical Issue - Slow Speed,"Streaming keeps buffering, internet speed is insufficient",technical,high,phone,closed,19,LOG_0000536,slow_speed
TKT_000096,CUST_00015,2025-12-10 00:00:00,2025-12-13 08:00:00,Technical Issue - Outage,Internet has been down for over an hour,technical,urgent,email,closed,80,LOG_0000538,outage
TKT_000097,CUST_00015,2026-02-24 00:00:00,2026-02-24 16:00:00,Service Change,"Moving to new address, how to transfer service?",service_change,medium,phone,closed,16,,
TKT_000098,CUST_00015,2026-01-16 00:00:00,2026-01-16 18:00:00,Service Change,How do I cancel my service?,service_change,medium,email,closed,18,,
TKT_000099,CUST_00015,2025-11-18 00:00:00,2025-11-18 19:00:00,Service Change,"Moving to new address, how to transfer service?",service_change,low,phone,closed,19,,
TKT_000100,CUST_00016,2025-12-30 09:00:00,2026-01-03 14:00:00,Technical Issue - Slow Speed,"Streaming keeps buffering, internet speed is insufficient",technical,high,chat,closed,101,LOG_0000572,slow_speed
TKT_000101,CUST_00016,2026-01-02 00:00:00,2026-01-03 13:00:00,Billing,Charged $97.06 but my plan should be $76.35,billing,low,web_form,closed,37,,
TKT_000102,CUST_00016,2026-01-25 00:00:00,2026-01-26 22:00:00,Billing,Why did my bill increase without notice?,billing,low,chat,closed,46,,
TKT_000103,CUST_00017,2025-12-19 10:00:00,2025-12-20 03:00:00,Technical Issue - Packet Loss,"Data is getting lost, packet loss is very high",technical,high,phone,closed,17,LOG_0000576,packet_loss
TKT_000104,CUST_00017,2025-12-14 09:00:00,2025-12-14 12:00:00,Technical Issue - High Latency,"Response time is awful, everything is delayed",technical,medium,chat,closed,3,LOG_0000579,high_latency
TKT_000105,CUST_00017,2026-02-27 12:00:00,2026-03-01 02:00:00,Technical Issue - Connection Drops,"Losing connection repeatedly, very frustrating",technical,medium,phone,closed,38,LOG_0000595,connection_drops
TKT_000106,CUST_00017,2026-01-28 08:00:00,2026-01-28 22:00:00,Technical Issue - Packet Loss,"Experiencing severe packet loss (20.1%), connection is unstable",technical,high,chat,closed,14,LOG_0000596,packet_loss
TKT_000107,CUST_00017,2025-12-14 06:00:00,2025-12-16 06:00:00,Technical Issue - Connection Drops,"Connection drops constantly, can't stay online",technical,high,web_form,closed,48,LOG_0000598,connection_drops
TKT_000108,CUST_00017,2026-02-04 06:00:00,2026-02-04 19:00:00,Technical Issue - Packet Loss,"Experiencing severe packet loss (14.5%), connection is unstable",technical,medium,phone,closed,13,LOG_0000599,packet_loss
TKT_000109,CUST_00018,2026-01-16 09:00:00,2026-01-16 22:00:00,Technical Issue - Slow Speed,Speed test shows terrible results - 63 Mbps when I'm paying for 200 Mbps,technical,high,phone,closed,13,LOG_0000616,slow_speed
TKT_000110,CUST_00018,2026-01-28 00:00:00,2026-01-28 20:00:00,Technical Issue - Connection Drops,"Connection drops constantly, can't stay online",technical,medium,web_form,closed,20,LOG_0000625,connection_drops
TKT_000111,CUST_00018,2025-12-27 06:00:00,2025-12-28 04:00:00,Technical Issue - Slow Speed,"Streaming keeps buffering, internet speed is insufficient",technical,high,email,closed,22,LOG_0000627,slow_speed
TKT_000112,CUST_00018,2026-01-31 11:00:00,2026-02-01 03:00:00,Technical Issue - Slow Speed,"Streaming keeps buffering, internet speed is insufficient",technical,medium,phone,closed,16,LOG_0000628,slow_speed
TKT_000113,CUST_00018,2026-01-12 04:00:00,2026-01-12 16:00:00,Technical Issue - High Latency,"High ping, gaming is impossible with this latency",technical,medium,web_form,closed,12,LOG_0000636,high_latency
TKT_000114,CUST_00018,2025-09-26 00:00:00,2025-09-26 18:00:00,Service Change,Need to downgrade to save money,service_change,low,phone,closed,18,,
TKT_000115,CUST_00018,2025-11-04 00:00:00,2025-11-04 12:00:00,Service Change,Want to upgrade to faster plan,service_change,low,chat,closed,12,,
TKT_000116,CUST_00018,2026-02-20 00:00:00,2026-02-20 12:00:00,Service Change,"Moving to new address, how to transfer service?",service_change,low,chat,closed,12,,
TKT_000117,CUST_00018,2025-09-24 00:00:00,2025-09-24 07:00:00,Service Change,Need to downgrade to save money,service_change,medium,email,closed,7,,
TKT_000118,CUST_00019,2026-01-09 11:00:00,2026-01-10 23:00:00,Technical Issue - Slow Speed,Speed test shows terrible results - 64 Mbps when I'm paying for 200 Mbps,technical,high,chat,closed,36,LOG_0000644,slow_speed
TKT_000119,CUST_00019,2026-02-08 06:00:00,2026-02-10 04:00:00,Technical Issue - Outage,"No connection whatsoever, lights on router are red",technical,urgent,phone,closed,46,LOG_0000652,outage
TKT_000120,CUST_00019,2025-12-03 01:00:00,2025-12-03 09:00:00,Technical Issue - Connection Drops,"Connection drops constantly, can't stay online",technical,medium,web_form,closed,8,LOG_0000660,connection_drops
TKT_000121,CUST_00020,2026-01-20 01:00:00,2026-01-21 13:00:00,Technical Issue - High Latency,"Response time is awful, everything is delayed",technical,medium,chat,closed,36,LOG_0000699,high_latency
TKT_000122,CUST_00020,2026-01-13 04:00:00,2026-01-15 13:00:00,Technical Issue - Outage,Internet has been down for over an hour,technical,high,web_form,closed,57,LOG_0000710,outage
TKT_000123,CUST_00020,2026-02-28 00:00:00,2026-02-28 06:00:00,Technical Issue - Slow Speed,Speed test shows terrible results - 393 Mbps when I'm paying for 1000 Mbps,technical,high,phone,closed,6,LOG_0000715,slow_speed
TKT_000124,CUST_00021,2025-12-22 00:00:00,2025-12-23 13:00:00,Technical Issue - Packet Loss,Unstable connection with frequent data loss,technical,medium,phone,closed,37,LOG_0000727,packet_loss
TKT_000125,CUST_00021,2025-12-04 09:00:00,2025-12-05 09:00:00,Technical Issue - Slow Speed,Speed test shows terrible results - 71 Mbps when I'm paying for 200 Mbps,technical,high,chat,closed,24,LOG_0000728,slow_speed
TKT_000126,CUST_00021,2026-02-18 01:00:00,2026-02-19 16:00:00,Technical Issue - Connection Drops,"Connection drops constantly, can't stay online",technical,medium,chat,closed,39,LOG_0000731,connection_drops
TKT_000127,CUST_00021,2026-01-07 02:00:00,2026-01-09 01:00:00,Technical Issue - High Latency,"Terrible lag during video calls, latency is 271ms",technical,medium,phone,closed,47,LOG_0000733,high_latency
TKT_000128,CUST_00021,2026-01-13 04:00:00,2026-01-15 02:00:00,Technical Issue - High Latency,"Response time is awful, everything is delayed",technical,high,web_form,closed,46,LOG_0000734,high_latency
TKT_000129,CUST_00021,2026-02-06 02:00:00,2026-02-06 07:00:00,Technical Issue - Packet Loss,Unstable connection with frequent data loss,technical,medium,email,closed,5,LOG_0000735,packet_loss
TKT_000130,CUST_00021,2026-02-07 00:00:00,2026-02-07 08:00:00,Service Change,Need to downgrade to save money,service_change,medium,chat,closed,8,,
TKT_000131,CUST_00021,2026-01-18 00:00:00,2026-01-18 14:00:00,Service Change,Need to downgrade to save money,service_change,medium,web_form,closed,14,,
TKT_000132,CUST_00021,2025-09-19 00:00:00,2025-09-19 20:00:00,Service Change,"Moving to new address, how to transfer service?",service_change,medium,phone,closed,20,,
TKT_000133,CUST_00021,2025-12-28 00:00:00,2025-12-28 05:00:00,Service Change,How do I cancel my service?,service_change,medium,web_form,closed,5,,
TKT_000134,CUST_00022,2025-12-13 12:00:00,2025-12-16 01:00:00,Technical Issue - Slow Speed,"Streaming keeps buffering, internet speed is insufficient",technical,urgent,chat,closed,61,LOG_0000748,slow_speed
TKT_000135,CUST_00022,2025-12-19 05:00:00,2025-12-21 02:00:00,Technical Issue - Slow Speed,"Streaming keeps buffering, internet speed is insufficient",technical,medium,web_form,closed,45,LOG_0000777,slow_speed
TKT_000136,CUST_00022,2026-02-18 06:00:00,2026-02-19 13:00:00,Technical Issue - Packet Loss,"Experiencing severe packet loss (13.4%), connection is unstable",technical,high,web_form,closed,31,LOG_0000780,packet_loss
TKT_000137,CUST_00022,2026-01-09 00:00:00,2026-01-09 13:00:00,Service Change,How do I cancel my service?,service_change,medium,web_form,closed,13,,
TKT_000138,CUST_00022,2026-02-03 00:00:00,2026-02-03 18:00:00,Service Change,"Moving to new address, how to transfer service?",service_change,low,email,closed,18,,
TKT_000139,CUST_00022,2026-02-06 00:00:00,2026-02-08 00:00:00,Billing,Charged $162.93 but my plan should be $116.35,billing,medium,chat,closed,48,,
TKT_000140,CUST_00023,2026-01-20 10:00:00,2026-01-22 10:00:00,Technical Issue - High Latency,"High ping, gaming is impossible with this latency",technical,medium,phone,closed,48,LOG_0000789,high_latency
TKT_000141,CUST_00023,2026-02-15 01:00:00,2026-02-15 19:00:00,Technical Issue - Packet Loss,"Experiencing severe packet loss (11.8%), connection is unstable",technical,high,web_form,closed,18,LOG_0000805,packet_loss
TKT_000142,CUST_00023,2026-02-04 00:00:00,2026-02-04 19:00:00,Technical Issue - Slow Speed,Speed test shows terrible results - 492 Mbps when I'm paying for 1000 Mbps,technical,high,phone,closed,19,LOG_0000809,slow_speed
TKT_000143,CUST_00023,2025-12-27 00:00:00,2025-12-27 03:00:00,Service Change,Need to downgrade to save money,service_change,low,chat,closed,3,,
TKT_000144,CUST_00023,2026-01-14 00:00:00,2026-01-14 18:00:00,Sales,Interested in bundling services,sales,low,email,closed,18,,
TKT_000145,CUST_00024,2026-02-21 07:00:00,2026-02-22 05:00:00,Technical Issue - Slow Speed,"Pages are loading very slowly, speed is way below what was promised",technical,high,web_form,closed,22,LOG_0000819,slow_speed
TKT_000146,CUST_00024,2026-02-20 03:00:00,2026-02-23 06:00:00,Technical Issue - Slow Speed,"Internet is extremely slow, only getting 46 Mbps instead of 200 Mbps",technical,urgent,phone,closed,75,LOG_0000830,slow_speed
TKT_000147,CUST_00024,2026-01-16 00:00:00,2026-01-16 10:00:00,Service Change,Want to upgrade to faster plan,service_change,medium,phone,closed,10,,
TKT_000148,CUST_00024,2026-01-10 00:00:00,2026-01-11 09:00:00,Billing,Need explanation for additional fees on bill,billing,low,email,closed,33,,
TKT_000149,CUST_00025,2025-12-17 04:00:00,2025-12-19 00:00:00,Technical Issue - Connection Drops,"Connection drops constantly, can't stay online",technical,high,phone,closed,44,LOG_0000849,connection_drops
TKT_000150,CUST_00025,2026-02-24 12:00:00,2026-02-24 18:00:00,Technical Issue - Packet Loss,Unstable connection with frequent data loss,technical,medium,web_form,closed,6,LOG_0000853,packet_loss
